Hisse,Son Fiyat (TL),Değişim (%),Değişim (TL),Hacim (TL),Hacim (Adet),
VESBE,11,42,-0,95,-0,11,66.512.086,5.760.154,
AKSA,67,25,-0,52,-0,35,123.420.797,1.813.111,
YONGA,27,50,2,00,0,54,773.668,27.916,
ACSEL,62,00,-0,16,-0,10,7.338.180,117.484,
DERIM,9,86,-1,20,-0,12,6.666.873,672.436,
PSDTC,30,46,0,07,0,02,5.929.562,193.133,
HLGYO,4,18,-1,42,-0,06,66.722.944,15.673.807,
NTHOL,12,80,-0,47,-0,06,24.338.443,1.884.992,
SANFM,16,09,-4,79,-0,81,34.032.730,1.977.504,
CRDFA,3,37,0,90,0,03,32.810.133,9.736.313,
INFO,8,06,-2,07,-0,17,25.305.419,3.117.520,
EGGUB,75,10,-0,79,-0,60,6.334.509,83.812,
KATMR,1,36,-1,45,-0,02,36.683.842,26.844.936,
ULUUN,27,76,0,29,0,08,48.455.878,1.728.609,
NUHCM,130,60,4,65,5,80,105.417.341,799.249,
BOSSA,11,89,1,80,0,21,17.407.198,1.463.362,
DAGHL,11,36,0,71,0,08,7.832.635,691.428,
METRO,1,69,-1,17,-0,02,19.387.475,11.372.794,
IZFAS,9,98,0,50,0,05,26.972.887,2.739.624,
EMNIS,45,62,4,87,2,12,487.892,10.957,
ETYAT,4,48,-2,18,-0,10,2.281.664,504.015,
VKING,33,26,9,99,3,02,18.537.143,569.293,
ISFIN,7,27,7,07,0,48,214.707.039,30.093.423,
GENTS,6,25,5,75,0,34,25.421.250,4.142.085,
PRKME,17,60,10,00,1,60,39.288.690,2.251.523,
KRDMB,18,39,-1,08,-0,20,26.463.398,1.424.436,
BANVT,82,75,-1,37,-1,15,13.982.195,166.506,
KUTPO,50,25,1,60,0,79,44.066.987,870.753,
IHYAY,0,90,3,45,0,03,12.148.053,13.722.529,
VERTU,29,00,-0,14,-0,04,11.813.129,406.447,
ICBCT,7,59,-1,30,-0,10,7.193.092,935.312,
CUSAN,18,76,7,20,1,26,30.385.422,1.667.607,
ISDMR,34,20,-0,23,-0,08,103.557.393,2.999.823,
UFUK,63,60,9,94,5,75,5.582.523,89.313,
MSGYO,6,63,1,38,0,09,14.183.053,2.134.961,
ZOREN,1,95,-3,94,-0,08,50.822.169,25.693.649,
GUBRF,266,30,-2,31,-6,30,1.139.127.435,4.231.817,
SKTAS,0,80,11,11,0,08,8.239.691,10.783.328,
IHLGM,1,00,0,00,0,00,18.287.993,18.274.681,
FONET,12,77,0,31,0,04,3.148.872,247.847,
MARKA,10,01,-1,86,-0,19,18.396.197,1.830.047,
MAVI,63,95,1,35,0,85,143.640.443,2.244.305,
BERA,10,89,-2,24,-0,25,87.146.026,7.862.831,
AGHOL,106,20,1,14,1,20,85.006.037,797.770,
SAFKR,13,81,-1,50,-0,21,3.022.307,217.518,
TLMAN,56,25,0,45,0,25,12.620.465,224.641,
QNBFB,45,00,6,89,2,90,2.144.837,48.951,
ENJSA,31,68,-0,25,-0,08,220.307.729,6.950.557,
SUMAS,87,00,1,75,1,50,330.230,3.788,
MPARK,77,35,9,56,6,75,91.043.186,1.222.543,
PEKGY,8,29,7,66,0,59,32.359.023,4.041.121,
TDGYO,4,90,-3,35,-0,17,6.449.693,1.288.264,
RALYH,70,50,2,92,2,00,35.994.167,514.555,
QNBFL,94,00,6,15,5,45,856.149,8.862,
DOKTA,53,05,7,26,3,59,133.035.181,2.508.391,
KFEIN,22,00,0,18,0,04,5.825.072,264.151,
SOKM,32,30,1,25,0,40,234.184.124,7.274.382,
FORMT,2,95,4,61,0,13,78.109.787,26.765.819,
HUBVC,4,66,-4,70,-0,23,24.495.293,5.124.022,
MTRYO,3,97,-2,22,-0,09,1.532.649,388.216,
IDEAS,31,36,-9,99,-3,48,55.301.769,1.678.798,
SMART,8,21,0,12,0,01,22.812.502,2.761.934,
CEOEM,10,29,0,39,0,04,15.742.872,1.527.306,
NATEN,145,70,-2,93,-4,40,52.497.324,355.235,
YKSLN,10,53,8,33,0,81,117.209.327,11.126.501,
PAPIL,15,50,1,44,0,22,11.500.844,738.636,
ARDYZ,8,16,-0,73,-0,06,32.357.297,3.910.667,
CASA,136,70,-3,73,-5,30,941.595,6.880,
VKGYO,0,72,2,86,0,02,14.452.252,20.425.666,
OYAKC,41,30,2,23,0,90,862.966.330,20.559.473,
BAYRK,4,73,2,16,0,10,18.489.069,3.893.101,
AKYHO,2,10,-2,33,-0,05,15.828.120,7.469.049,
FADE,10,04,-0,59,-0,06,10.678.215,1.059.085,
ALMAD,4,97,-1,78,-0,09,26.045.406,5.166.428,
TURSG,11,17,0,72,0,08,25.241.762,2.267.120,
DNISI,6,29,-1,10,-0,07,9.261.292,1.445.613,
INVEO,20,48,0,00,0,00,20.415.290,997.258,
ESEN,60,15,-2,67,-1,65,28.443.658,467.242,
KONTR,145,50,1,25,1,80,456.930.614,3.126.807,
PAMEL,149,00,0,13,0,20,206.653.753,1.374.072,
KRVGD,18,30,-0,05,-0,01,42.764.112,2.342.082,
ARZUM,21,90,0,00,0,00,6.944.499,316.239,
ISKPL,5,54,0,36,0,02,14.654.132,2.644.468,
TRILC,9,26,-0,43,-0,04,15.486.409,1.671.724,
NTGAZ,23,52,1,55,0,36,65.648.596,2.745.775,
DERHL,5,70,1,24,0,07,12.979.832,2.295.236,
MTRKS,35,80,-0,56,-0,20,4.920.436,136.789,
TUREX,24,50,-3,39,-0,86,22.809.395,890.475,
QUAGR,90,30,-3,94,-3,70,423.420.855,4.634.308,
GWIND,16,75,-2,10,-0,36,41.410.086,2.425.408,
BIOEN,13,90,-2,32,-0,33,32.350.548,2.293.196,
AYDEM,13,85,-0,79,-0,11,44.299.683,3.183.021,
CANTE,26,20,1,16,0,30,312.586.866,12.107.145,
ZRGYO,4,21,-2,77,-0,12,22.590.406,5.197.816,
PENTA,26,04,9,97,2,36,791.922.629,31.343.178,
KLKIM,56,15,4,17,2,25,219.066.226,3.848.742,
MERCN,28,30,-2,41,-0,70,9.597.458,334.135,
BOBET,18,97,0,48,0,09,76.055.451,3.966.491,
ATATP,17,87,-1,65,-0,30,4.958.625,274.481,
UNLU,9,55,-1,55,-0,15,14.375.895,1.484.170,
BMSCH,16,05,0,44,0,07,35.595.828,2.182.412,
OYYAT,45,00,2,83,1,24,13.744.566,311.960,
BASGZ,13,02,0,54,0,07,40.555.782,3.116.430,
SELVA,10,94,0,46,0,05,32.919.175,3.061.927,
KGYO,44,20,3,13,1,34,26.255.396,598.156,
MEDTR,32,02,-0,50,-0,16,9.335.905,291.122,
EDATA,7,10,-1,25,-0,09,9.957.656,1.394.051,
KTSKR,42,52,-1,44,-0,62,21.123.348,491.180,
VBTYZ,44,00,2,33,1,00,51.275.418,1.176.350,
ESCAR,81,05,1,38,1,10,18.273.081,227.673,
KARYE,19,79,-0,35,-0,07,10.009.701,503.366,
MANAS,7,27,1,25,0,09,22.820.018,3.152.807,
AGESA,34,46,-0,12,-0,04,30.395.590,889.784,
GENIL,40,58,-1,02,-0,42,40.699.339,992.429,
KZBGY,17,85,-0,17,-0,03,95.106.247,5.280.814,
GESAN,54,35,-0,91,-0,50,410.499.759,7.517.344,
BRLSM,9,46,-1,97,-0,19,77.398.304,7.907.084,
EGEPO,19,50,1,99,0,38,9.636.297,497.405,
ORCAY,7,26,1,26,0,09,73.659.413,9.846.070,
YEOTK,71,10,-1,18,-0,85,142.548.972,1.982.905,
TEZOL,25,40,0,24,0,06,12.507.396,492.289,
KIMMR,5,13,-1,16,-0,06,24.609.667,4.767.506,
ANGEN,12,92,1,33,0,17,21.799.675,1.686.646,
GLCVY,24,10,-0,50,-0,12,16.231.953,672.762,
HEDEF,18,74,-0,05,-0,01,17.323.172,930.108,
MAGEN,39,88,-1,24,-0,50,44.422.704,1.109.085,
TETMT,227,50,5,13,11,10,16.422.564,72.860,
IHAAS,139,00,-8,79,-13,40,27.952.110,193.409,
ARASE,141,80,-1,87,-2,70,15.664.714,110.220,
ULUFA,5,44,0,55,0,03,17.879.939,3.259.052,
GMTAS,11,10,1,00,0,11,9.456.732,861.638,
ELITE,16,16,-1,52,-0,25,16.478.359,1.018.775,
ISSEN,16,77,0,24,0,04,58.524.083,3.508.141,
MIATK,110,30,-1,96,-2,20,73.789.513,664.670,
MOBTL,3,54,0,85,0,03,69.324.855,19.450.325,
KONKA,35,22,-0,06,-0,02,29.296.995,826.745,
PCILT,28,28,5,21,1,40,27.700.332,1.006.601,
RNPOL,16,05,-1,23,-0,20,34.834.612,2.143.786,
PSGYO,7,11,-4,95,-0,37,153.492.030,20.941.415,
DGNMO,6,50,0,15,0,01,13.316.890,2.032.204,
OTTO,127,90,0,71,0,90,258.441,2.023,
ERCB,112,60,-2,00,-2,30,87.393.228,760.413,
